Attribute,Process,Commodity,Sector,Subsector,Technology,Fuel,Enduse,Unit,Parameters,FuelGroup
VAR_Cap,DARY-PH-TVR_DRY-COA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_TVR-WOD-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,DARY-PH-MVR_TVR-NGA-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_TVR-NGA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_TVR-COA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_PRE-WOD-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,DARY-PH-MVR_PRE-NGA-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_PRE-NGA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_PRE-COA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_DRY-WOD-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,DARY-PH-MVR_DRY-NGA-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_DRY-NGA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-MVR_DRY-COA-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,GW,Technology Capacity,Fossil Fuels
VAR_FIn,DARY-PH-MVR_DRY-COA-BLR15,INDCOA,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_DRY-NGA-BLR15,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_DRY-NGA-Boiler,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_DRY-WOD-Boiler,INDWOD,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Renewables (direct use)
VAR_FIn,DARY-PH-MVR_PRE-COA-BLR15,INDCOA,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_PRE-NGA-BLR15,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_PRE-NGA-Boiler,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_PRE-WOD-Boiler,INDWOD,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Renewables (direct use)
VAR_FIn,DARY-PH-MVR_TVR-COA-BLR15,INDCOA,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_TVR-NGA-BLR15,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_TVR-NGA-Boiler,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-MVR_TVR-WOD-Boiler,INDWOD,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Renewables (direct use)
VAR_FIn,DARY-PH-TVR_DRY-COA-BLR15,INDCOA,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-TVR_DRY-NGA-BLR15,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-TVR_DRY-NGA-Boiler,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-TVR_DRY-WOD-Boiler,INDWOD,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Renewables (direct use)
VAR_FIn,DARY-PH-TVR_EVP-COA-BLR15,INDCOA,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-TVR_EVP-NGA-BLR15,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-TVR_EVP-NGA-Boiler,INDNGA,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-TVR_EVP-WOD-Boiler,INDWOD,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,Fuel Consumption,Renewables (direct use)
VAR_FOut,DARY-PH-MVR_DRY-COA-BLR15,DARY-PH-MVR_DRY,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_DRY-COA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-MVR_DRY-NGA-BLR15,DARY-PH-MVR_DRY,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_DRY-NGA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-MVR_DRY-NGA-Boiler,DARY-PH-MVR_DRY,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_DRY-NGA-Boiler,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-MVR_DRY-WOD-Boiler,DARY-PH-MVR_DRY,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,End Use Demand,Renewables (direct use)
VAR_FOut,DARY-PH-MVR_PRE-COA-BLR15,DARY-PH-MVR_PRE,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_PRE-COA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-MVR_PRE-NGA-BLR15,DARY-PH-MVR_PRE,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_PRE-NGA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-MVR_PRE-NGA-Boiler,DARY-PH-MVR_PRE,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_PRE-NGA-Boiler,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
