Scenario,Region,Sector,Set,Name,Description,Activity unit,Capacity unit,Type,Sub type,Primary commodity group,Time slice level,Vintage
BASE,NI,ELC,.ELE.,ELCTENGACHP00,Electricity -:- Thermal -:- Electricity Production -:- Combined Heat/Power -:- Natural Gas,PJ,GW,ELE,-,ELCTENGACHP00_NRGO,DAYNITE,0.0
BASE,NI,PRI,.MIN.IRE.,MINDSL1,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.MIN.IRE.,MINFOL1,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.MIN.IRE.,MINJET1,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.MIN.IRE.,MINOTH1,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.MIN.IRE.,MINPET1,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,NI,PRI,.PRE.,CT_CWODDID,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:-  -:- Production of drop-in fuels from woodwaste,PJ,GWTH,PRE,-,CT_CWODDID_NRGO,ANNUAL,0.0
BASE,NI,OTH,.DMD.,AFISH-LIG-LT_ELC00,Agriculture -:- Fishing -:- Lighting -:- Lights (General) -:- Electricity,PJ,GW,DMD,-,AFISH-LIG,ANNUAL,0.0
BASE,NI,OTH,.PRE.,FTE_AGRPET,Agriculture -:-  -:-  -:-  -:- Petrol,PJ,PJA,PRE,-,AGRPET,ANNUAL,0.0
BASE,SI,PRI,.EXP.IRE.,EXPOIL1,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.EXP.IRE.,Non_NRG_OTH,Primary Fuel Supply -:- Natural Gas -:-  -:- Non Energy Use of Natural Gas -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.IMP.IRE.,IMPDID,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.IMP.IRE.,IMPDIJ,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.IMP.IRE.,IMPLNG1,Primary Fuel Supply -:- Natural Gas -:-  -:- Import - LNG -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.IMP.IRE.,IMPOIL1,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.MIN.IRE.,MINNGA2,Primary Fuel Supply -:- Natural Gas -:-  -:- Mining - Natural Gas Tranche 2 -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.MIN.IRE.,MINNGA3,Primary Fuel Supply -:- Natural Gas -:-  -:- Mining - Natural Gas Tranche 3 -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.MIN.IRE.,MINNGA4,Primary Fuel Supply -:- Natural Gas -:-  -:- Mining - Natural Gas Tranche 4 -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.MIN.IRE.,MINOIL1,Primary Fuel Supply -:- Petroleum -:-  -:-  -:-,PJ,PJA,IRE,-,,ANNUAL,0.0
BASE,SI,PRI,.PRE.,CT_CWODDID,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:-  -:- Production of drop-in fuels from woodwaste,PJ,GWTH,PRE,-,CT_CWODDID_NRGO,ANNUAL,0.0
BASE,SI,PRI,.PRE.,LNGport2021,Primary Fuel Supply -:- Natural Gas -:-  -:- LNG Port -:-,PJ,PJA,PRE,-,,ANNUAL,0.0
BASE,SI,PRI,.PRE.,REFEOIL00,Primary Fuel Supply -:- Refinery -:-  -:- Oil production -:-,PJ,PJA,PRE,-,REFEOIL00_NRGI,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_C_CBEVNEW15,Transport -:- Road Transport -:- Van/Ute -:- Battery Electric Vehicle -:- Electricity,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_C_CHYBPET15,Transport -:- Road Transport -:- Van/Ute -:- Hybrid Vehicle -:- Petrol,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_C_CICEDSL15,Transport -:- Road Transport -:- Van/Ute -:- Internal Combustion Engine -:- Diesel,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_C_CICELPG15,Transport -:- Road Transport -:- Van/Ute -:- Internal Combustion Engine -:- LPG,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_C_CICEPET15,Transport -:- Road Transport -:- Van/Ute -:- Internal Combustion Engine -:- Petrol,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_F_HTICEDSL15,Transport -:- Road Transport -:- Heavy Truck -:- Internal Combustion Engine -:- Diesel,BVKM,000TRUCKS,DMD,-,T_F_HTrk,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_F_MBEVELC15,Transport -:- Road Transport -:- Medium Truck -:- Battery Electric Vehicle -:- Electricity,BVKM,000TRUCKS,DMD,-,T_F_MTrk,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_F_MTICEDSL15,Transport -:- Road Transport -:- Medium Truck -:- Internal Combustion Engine -:- Diesel,BVKM,000TRUCKS,DMD,-,T_F_MTrk,ANNUAL,0.0
BASE,NI,ELC,.PRE.,FTE_ELCURN,Electricity -:-  -:-  -:-  -:- Uranium,PJ,PJA,PRE,-,ELCURN,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_F_MTICEPET15,Transport -:- Road Transport -:- Medium Truck -:- Internal Combustion Engine -:- Petrol,BVKM,000TRUCKS,DMD,-,T_F_MTrk,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_F_VHTICEDSL15,Transport -:- Road Transport -:- Very Heavy Truck -:- Internal Combustion Engine -:- Diesel,BVKM,000TRUCKS,DMD,-,T_F_VHTrk,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_BBEVELC15,Transport -:- Road Transport -:- Bus -:- Battery Electric Vehicle -:- Electricity,BVKM,000BUSSES,DMD,-,T_P_Bus,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_BICEDSL15,Transport -:- Road Transport -:- Bus -:- Internal Combustion Engine -:- Diesel,BVKM,000BUSSES,DMD,-,T_P_Bus,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_BICEPET15,Transport -:- Road Transport -:- Bus -:- Internal Combustion Engine -:- Petrol,BVKM,000BUSSES,DMD,-,T_P_Bus,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_CBEVNEW15,Transport -:- Road Transport -:- Car/SUV -:- Battery Electric Vehicle -:- Electricity,BVKM,000CARS,DMD,-,T_P_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_CBEVUSD15,Transport -:- Road Transport -:- Car/SUV -:- Battery Electric Vehicle -:- Electricity,BVKM,000CARS,DMD,-,T_P_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_CHYBPET15,Transport -:- Road Transport -:- Car/SUV -:- Hybrid Vehicle -:- Petrol,BVKM,000CARS,DMD,-,T_P_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_CICEDSL15,Transport -:- Road Transport -:- Car/SUV -:- Internal Combustion Engine -:- Diesel,BVKM,000CARS,DMD,-,T_P_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_CICELPG15,Transport -:- Road Transport -:- Car/SUV -:- Internal Combustion Engine -:- LPG,BVKM,000CARS,DMD,-,T_P_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_CICEPET15,Transport -:- Road Transport -:- Car/SUV -:- Internal Combustion Engine -:- Petrol,BVKM,000CARS,DMD,-,T_P_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_CPHEVPET15,Transport -:- Road Transport -:- Car/SUV -:- Plug-In Hybrid Vehicle -:- Electricity,BVKM,000CARS,DMD,-,T_P_Car,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_P_MICEPET15,Transport -:- Road Transport -:- Motorcycles -:- Internal Combustion Engine -:- Petrol,BVKM,000MCY,DMD,-,T_P_Mcy,ANNUAL,0.0
BASE,SI,TRA,.DMD.,T_C_CBEVNEW15,Transport -:- Road Transport -:- Van/Ute -:- Battery Electric Vehicle -:- Electricity,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
BASE,SI,TRA,.DMD.,T_C_CHYBPET15,Transport -:- Road Transport -:- Van/Ute -:- Hybrid Vehicle -:- Petrol,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
BASE,SI,TRA,.DMD.,T_C_CICEDSL15,Transport -:- Road Transport -:- Van/Ute -:- Internal Combustion Engine -:- Diesel,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
NewTech_ELC_KEA,NI,ELC,.MIN.IRE.,CCS_Store1,-:-  -:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store1_NRGO,ANNUAL,0.0
NewTech_ELC_TUI,NI,ELC,.MIN.IRE.,CCS_Store1,-:-  -:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store1_NRGO,ANNUAL,0.0
NewTech_ELC_KEA,NI,ELC,.MIN.IRE.,CCS_Store2,-:-  -:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store2_NRGO,ANNUAL,0.0
NewTech_ELC_TUI,NI,ELC,.MIN.IRE.,CCS_Store2,-:-  -:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store2_NRGO,ANNUAL,0.0
NewTech_ELC_KEA,SI,ELC,.MIN.IRE.,CCS_Store1,-:-  -:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store1_NRGO,ANNUAL,0.0
NewTech_ELC_TUI,SI,ELC,.MIN.IRE.,CCS_Store1,-:-  -:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store1_NRGO,ANNUAL,0.0
NewTech_ELC_KEA,SI,ELC,.MIN.IRE.,CCS_Store2,-:-  -:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store2_NRGO,ANNUAL,0.0
