Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,NI,IND,.DEM.,UREA-REFRM,Industry -:- Urea Production -:-  -:- Process Heat Reforming,PJ,DEM,,,DAYNITE,
BASE,NI,OTH,.DEM.,AFISH-BOAT,Agriculture -:- Fishing -:-  -:- Boat,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AFISH-LIG,Agriculture -:- Fishing -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AFISH-RFGR,Agriculture -:- Fishing -:-  -:- Refrigeration,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AFORE-LIG,Agriculture -:- Forestry -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AFORE-MoTP-Mob-CY,Agriculture -:- Forestry -:-  -:- Cable Yarding (Forestry),PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AFORE-MoTP-Mob-GB,Agriculture -:- Forestry -:-  -:- Ground Based Forestry,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AFORE-MoTP-Stat,"Agriculture -:- Forestry -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.ENV.,AGRCO2,Agriculture -:-  -:-  -:-,kt,ENV,,,,
BASE,NI,OTH,.NRG.,AGRCOA,Agriculture -:-  -:- Coal -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.NRG.,AGRDSL,Agriculture -:-  -:- Diesel -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.NRG.,AGRFOL,Agriculture -:-  -:- Fuel Oil -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.NRG.,AGRGEO,Agriculture -:-  -:- Geothermal -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.NRG.,AGRLPG,Agriculture -:-  -:- LPG -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.NRG.,AGRNGA,Agriculture -:-  -:- Natural Gas -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.NRG.,AGRPET,Agriculture -:-  -:- Petrol -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.NRG.,AGRPLT,Agriculture -:-  -:- Pellet -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.NRG.,AGRWOD,Agriculture -:-  -:- Wood -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,OTH,.DEM.,AHORT-IRG,Agriculture -:- Outdoor Horticulture/Arable Farming -:-  -:- Irrigation,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AHORT-LIG,Agriculture -:- Outdoor Horticulture/Arable Farming -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AHORT-MoTP-Mob-MTr,Agriculture -:- Outdoor Horticulture/Arable Farming -:-  -:- Truck Services,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AHORT-MoTP-Mob-Trac,Agriculture -:- Outdoor Horticulture/Arable Farming -:-  -:- Tractor Services,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AHORT-MoTP-Mob-Uti,Agriculture -:- Outdoor Horticulture/Arable Farming -:-  -:- Farm Vehicle,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AHORT-MoTP-Stat,"Agriculture -:- Outdoor Horticulture/Arable Farming -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AINDC-LIG,Agriculture -:- Indoor Cropping -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AINDC-SH,Agriculture -:- Indoor Cropping -:-  -:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,ALIVE-IRG,Agriculture -:- Livestock Farming -:-  -:- Irrigation,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,ALIVE-LIG,Agriculture -:- Livestock Farming -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,ALIVE-MoTP-Mob-Bike,Agriculture -:- Livestock Farming -:-  -:- Off-road Motorbike Use,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,ALIVE-MoTP-Mob-MTr,Agriculture -:- Livestock Farming -:-  -:- Truck Services,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,ALIVE-MoTP-Mob-Trac,Agriculture -:- Livestock Farming -:-  -:- Tractor Services,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,ALIVE-MoTP-Mob-Uti,Agriculture -:- Livestock Farming -:-  -:- Farm Vehicle,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AOTH-ELC,Agriculture -:- Other (Agriculture) -:-  -:- Other,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AOTH-FOL,Agriculture -:- Other (Agriculture) -:-  -:- Other,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AOTH-LPG,Agriculture -:- Other (Agriculture) -:-  -:- Other,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AOTH-NGA,Agriculture -:- Other (Agriculture) -:-  -:- Other,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,AOTH-PET,Agriculture -:- Other (Agriculture) -:-  -:- Other,PJ,DEM,,,,
BASE,NI,OTH,.NRG.,COMBIG,Commercial -:-  -:- Biogas -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.ENV.,COMCO2,Commercial -:-  -:-  -:-,kt,ENV,,,,
BASE,NI,OTH,.NRG.,COMCOA,Commercial -:-  -:- Coal -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,COMDSL,Commercial -:-  -:- Diesel -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,COMFOL,Commercial -:-  -:- Fuel Oil -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,COMGEO,Commercial -:-  -:- Geothermal -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,COMLPG,Commercial -:-  -:- LPG -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,COMNGA,Commercial -:-  -:- Natural Gas -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,COMPET,Commercial -:-  -:- Petrol -:-,PJ,NRG,,FX,,
