"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2030","Electricity","Heating/Cooling","0.104576"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2018","Electricity","Heating/Cooling","1.495864"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2025","Electricity","Heating/Cooling","1.979263"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2030","Electricity","Heating/Cooling","1.916218"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2035","Electricity","Heating/Cooling","1.848818"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2040","Electricity","Heating/Cooling","1.777668"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2045","Electricity","Heating/Cooling","1.709255"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2050","Electricity","Heating/Cooling","1.643475"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2055","Electricity","Heating/Cooling","1.580227"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2060","Electricity","Heating/Cooling","1.519413"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2018","Electricity","Heating/Cooling","0.427390"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2025","Electricity","Heating/Cooling","0.565504"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2030","Electricity","Heating/Cooling","0.547491"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2035","Electricity","Heating/Cooling","0.528234"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2040","Electricity","Heating/Cooling","0.507905"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2045","Electricity","Heating/Cooling","0.488359"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2050","Electricity","Heating/Cooling","0.469564"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2055","Electricity","Heating/Cooling","0.451493"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2060","Electricity","Heating/Cooling","0.434118"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2018","Electricity","Heating/Cooling","0.578136"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2025","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2030","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2018","Electricity","Heating/Cooling","0.695420"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2025","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2030","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2040","Electricity","Heating/Cooling","0.000000"
