Attribute,Process,Commodity,Sector,Subsector,Technology,Fuel,Enduse,Unit,Parameters,FuelGroup
VAR_Cap,AFISH-BOAT-Boat-DSL,-,Agriculture,Fishing,Fishing Boat,Diesel,Boat,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFISH-BOAT-Boat_DSL00,-,Agriculture,Fishing,Fishing Boat (Non-Hybrid),Diesel,Boat,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFISH-BOAT-Boat_FOL00,-,Agriculture,Fishing,Fishing Boat (Non-Hybrid),Fuel Oil,Boat,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFISH-BOAT-HYBBOAT-DSL,-,Agriculture,Fishing,Fishing Boat (Hybrid),Diesel,Boat,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFISH-LIG--ELC,-,Agriculture,Fishing,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,AFISH-LIG-LT_ELC00,-,Agriculture,Fishing,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,AFISH-RFGR-RF-ELC,-,Agriculture,Fishing,Refrigerator,Electricity,Refrigeration,GW,Technology Capacity,Electricity
VAR_Cap,AFISH-RFGR-RF_ELC00,-,Agriculture,Fishing,Refrigerator,Electricity,Refrigeration,GW,Technology Capacity,Electricity
VAR_Cap,AFORE-LIG--ELC,-,Agriculture,Forestry,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,AFORE-LIG-LT_ELC00,-,Agriculture,Forestry,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,AFORE-MoTP-Mob-CY--DSL,-,Agriculture,Forestry,Cable Yarder (Forestry),Diesel,Cable Yarding (Forestry),GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFORE-MoTP-Mob-CY--ELC,-,Agriculture,Forestry,Cable Yarder (Forestry),Electricity,Cable Yarding (Forestry),GW,Technology Capacity,Electricity
VAR_Cap,AFORE-MoTP-Mob-CY--H2R,-,Agriculture,Forestry,Cable Yarder (Forestry),Green Hydrogen,Cable Yarding (Forestry),GW,Technology Capacity,Electricity
VAR_Cap,AFORE-MoTP-Mob-CY-_DSL00,-,Agriculture,Forestry,Cable Yarder (Forestry),Diesel,Cable Yarding (Forestry),GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFORE-MoTP-Mob-GB--DSL,-,Agriculture,Forestry,Skidder (Forestry),Diesel,Ground Based Forestry,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFORE-MoTP-Mob-GB--ELC,-,Agriculture,Forestry,Skidder (Forestry),Electricity,Ground Based Forestry,GW,Technology Capacity,Electricity
VAR_Cap,AFORE-MoTP-Mob-GB--H2R,-,Agriculture,Forestry,Skidder (Forestry),Green Hydrogen,Ground Based Forestry,GW,Technology Capacity,Electricity
VAR_Cap,AFORE-MoTP-Mob-GB-_DSL00,-,Agriculture,Forestry,Skidder (Forestry),Diesel,Ground Based Forestry,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFORE-MoTP-Stat--ELC,-,Agriculture,Forestry,Stationary Motor,Electricity,"Motive Power, Stationary",GW,Technology Capacity,Electricity
VAR_Cap,AFORE-MoTP-Stat-Motor_DSL00,-,Agriculture,Forestry,Stationary Motor,Diesel,"Motive Power, Stationary",GW,Technology Capacity,Fossil Fuels
VAR_Cap,AFORE-MoTP-Stat-Motor_ELC00,-,Agriculture,Forestry,Stationary Motor,Electricity,"Motive Power, Stationary",GW,Technology Capacity,Electricity
VAR_Cap,AHORT-IRG-Irg-ELC,-,Agriculture,Forestry,Irrigator,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-IRG-IrgVSD-ELC,-,Agriculture,Outdoor Horticulture/Arable Farming,Irrigator with VSD,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-IRG-IrgVSD_ELC00,-,Agriculture,Outdoor Horticulture/Arable Farming,Irrigator with VSD,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-IRG-Irg_ELC00,-,Agriculture,Outdoor Horticulture/Arable Farming,Irrigator,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-LIG--ELC,-,Agriculture,Outdoor Horticulture/Arable Farming,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-LIG-LT_ELC00,-,Agriculture,Outdoor Horticulture/Arable Farming,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-MoTP-Mob-MTr--DSL,-,Agriculture,Outdoor Horticulture/Arable Farming,Truck (Agricultural),Diesel,Truck Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AHORT-MoTP-Mob-MTr--ELC,-,Agriculture,Outdoor Horticulture/Arable Farming,Truck (Agricultural),Electricity,Truck Services,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-MoTP-Mob-MTr--H2R,-,Agriculture,Outdoor Horticulture/Arable Farming,Truck (Agricultural),Green Hydrogen,Truck Services,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-MoTP-Mob-MTr-_DSL00,-,Agriculture,Outdoor Horticulture/Arable Farming,Truck (Agricultural),Diesel,Truck Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AHORT-MoTP-Mob-Trac--DSL,-,Agriculture,Outdoor Horticulture/Arable Farming,Tractor (Agricultural),Diesel,Tractor Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AHORT-MoTP-Mob-Trac--ELC,-,Agriculture,Outdoor Horticulture/Arable Farming,Tractor (Agricultural),Electricity,Tractor Services,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-MoTP-Mob-Trac--H2R,-,Agriculture,Outdoor Horticulture/Arable Farming,Tractor (Agricultural),Green Hydrogen,Tractor Services,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-MoTP-Mob-Trac-_DSL00,-,Agriculture,Outdoor Horticulture/Arable Farming,Tractor (Agricultural),Diesel,Tractor Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AHORT-MoTP-Mob-Uti--DSL,-,Agriculture,Outdoor Horticulture/Arable Farming,Utility Vehicle (Agricultural),Diesel,Farm Vehicle,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AHORT-MoTP-Mob-Uti--ELC,-,Agriculture,Outdoor Horticulture/Arable Farming,Utility Vehicle (Agricultural),Electricity,Farm Vehicle,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-MoTP-Mob-Uti--H2R,-,Agriculture,Outdoor Horticulture/Arable Farming,Utility Vehicle (Agricultural),Green Hydrogen,Farm Vehicle,GW,Technology Capacity,Electricity
VAR_Cap,AHORT-MoTP-Mob-Uti-_DSL00,-,Agriculture,Outdoor Horticulture/Arable Farming,Utility Vehicle (Agricultural),Diesel,Farm Vehicle,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AHORT-MoTP-Stat-Motor-ELC,-,Agriculture,Outdoor Horticulture/Arable Farming,Stationary Motor,Electricity,"Motive Power, Stationary",GW,Technology Capacity,Electricity
VAR_Cap,AHORT-MoTP-Stat-Motor_DSL00,-,Agriculture,Outdoor Horticulture/Arable Farming,Stationary Motor,Diesel,"Motive Power, Stationary",GW,Technology Capacity,Fossil Fuels
VAR_Cap,AINDC-LIG--ELC,-,Agriculture,Indoor Cropping,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,AINDC-LIG-LT_ELC00,-,Agriculture,Indoor Cropping,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,AINDC-SH-Boiler-ELC,-,Agriculture,Indoor Cropping,Boiler,Electricity,Space Heating,GW,Technology Capacity,Electricity
VAR_Cap,AINDC-SH-Boiler-H2R,-,Agriculture,Indoor Cropping,Boiler,Green Hydrogen,Space Heating,GW,Technology Capacity,Electricity
VAR_Cap,AINDC-SH-Boiler-NGA,-,Agriculture,Indoor Cropping,Boiler,Natural Gas,Space Heating,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AINDC-SH-Boiler-WOD,-,Agriculture,Indoor Cropping,Boiler,Wood,Space Heating,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,AINDC-SH-Boiler_COA00,-,Agriculture,Indoor Cropping,Boiler,Coal,Space Heating,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AINDC-SH-Boiler_DSL00,-,Agriculture,Indoor Cropping,Boiler,Diesel,Space Heating,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AINDC-SH-Boiler_NGA00,-,Agriculture,Indoor Cropping,Boiler,Natural Gas,Space Heating,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AINDC-SH-DH_GEO00,-,Agriculture,Indoor Cropping,Direct Heat,Geothermal,Space Heating,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,AINDC-SH-HP-ELC,-,Agriculture,Indoor Cropping,Heat Pump,Electricity,Space Heating,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-IRG-Irg-ELC,-,Agriculture,Livestock Farming,Irrigator,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-IRG-IrgVSD-ELC,-,Agriculture,Livestock Farming,Irrigator with VSD,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-IRG-IrgVSD_ELC00,-,Agriculture,Livestock Farming,Irrigator with VSD,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-IRG-Irg_ELC00,-,Agriculture,Livestock Farming,Irrigator,Electricity,Irrigation,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-LIG--ELC,-,Agriculture,Livestock Farming,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-LIG-LT_ELC00,-,Agriculture,Livestock Farming,Lights (General),Electricity,Lighting,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-MoTP-Mob-Bike--ELC,-,Agriculture,Livestock Farming,Farm Bike,Electricity,Off-road Motorbike Use,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-MoTP-Mob-Bike--PET,-,Agriculture,Livestock Farming,Farm Bike,Petrol,Off-road Motorbike Use,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ALIVE-MoTP-Mob-Bike-_PET00,-,Agriculture,Livestock Farming,Farm Bike,Petrol,Off-road Motorbike Use,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ALIVE-MoTP-Mob-MTr--DSL,-,Agriculture,Livestock Farming,Truck (Agricultural),Diesel,Truck Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ALIVE-MoTP-Mob-MTr--ELC,-,Agriculture,Livestock Farming,Truck (Agricultural),Electricity,Truck Services,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-MoTP-Mob-MTr--H2R,-,Agriculture,Livestock Farming,Truck (Agricultural),Green Hydrogen,Truck Services,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-MoTP-Mob-MTr-_DSL00,-,Agriculture,Livestock Farming,Truck (Agricultural),Diesel,Truck Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ALIVE-MoTP-Mob-Trac--DSL,-,Agriculture,Livestock Farming,Tractor (Agricultural),Diesel,Tractor Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ALIVE-MoTP-Mob-Trac--ELC,-,Agriculture,Livestock Farming,Tractor (Agricultural),Electricity,Tractor Services,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-MoTP-Mob-Trac--H2R,-,Agriculture,Livestock Farming,Tractor (Agricultural),Green Hydrogen,Tractor Services,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-MoTP-Mob-Trac-_DSL00,-,Agriculture,Livestock Farming,Tractor (Agricultural),Diesel,Tractor Services,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ALIVE-MoTP-Mob-Uti--DSL,-,Agriculture,Livestock Farming,Utility Vehicle (Agricultural),Diesel,Farm Vehicle,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ALIVE-MoTP-Mob-Uti--ELC,-,Agriculture,Livestock Farming,Utility Vehicle (Agricultural),Electricity,Farm Vehicle,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-MoTP-Mob-Uti--H2R,-,Agriculture,Livestock Farming,Utility Vehicle (Agricultural),Green Hydrogen,Farm Vehicle,GW,Technology Capacity,Electricity
VAR_Cap,ALIVE-MoTP-Mob-Uti-_DSL00,-,Agriculture,Livestock Farming,Utility Vehicle (Agricultural),Diesel,Farm Vehicle,GW,Technology Capacity,Fossil Fuels
VAR_Cap,ALU-PH-FURN-ELC-Furn,-,Industry,Aluminium,Furnace,Electricity,Process Heat Furnace,GW,Technology Capacity,Electricity
VAR_Cap,ALU-PH-FURN-ELC-Furn15,-,Industry,Aluminium,Furnace,Electricity,Process Heat Furnace,GW,Technology Capacity,Electricity
VAR_Cap,AOTH-ELC-_ELC00,-,Agriculture,Other (Agriculture),Other,Electricity,Other,GW,Technology Capacity,Electricity
VAR_Cap,AOTH-FOL-_FOL00,-,Agriculture,Other (Agriculture),Other,Fuel Oil,Other,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AOTH-LPG-_LPG00,-,Agriculture,Other (Agriculture),Other,LPG,Other,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AOTH-NGA-_NGA00,-,Agriculture,Other (Agriculture),Other,Natural Gas,Other,GW,Technology Capacity,Fossil Fuels
VAR_Cap,AOTH-PET-_PET00,-,Agriculture,Other (Agriculture),Other,Petrol,Other,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-MoTP-Stat-DSL-st_ngn,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Stationary Motor,Diesel,"Motive Power, Stationary",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-MoTP-Stat-ELC-Motor,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Stationary Motor,Electricity,"Motive Power, Stationary",GW,Technology Capacity,Electricity
VAR_Cap,CHMCL-MoTP-Stat-ELC-Mtr15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Stationary Motor,Electricity,"Motive Power, Stationary",GW,Technology Capacity,Electricity
VAR_Cap,CHMCL-MoTP-Stat-ELC-VSD-Mtr,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Stationary Motor with VSD,Electricity,"Motive Power, Stationary",GW,Technology Capacity,Electricity
