Scenario,Island,Subsector,Fuel Code,Fuel,2015,2016,2018,2021,2025,2030,2035,2040,2045,2050,2055,2060
Kea,NI,FOOD PROCESSING,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,IRON&STEEL,COA,Coal Feedstock,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Kea,NI,IRON&STEEL,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,IRON&STEEL,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,IRON&STEEL,INDCOA,Coal,0,0,0,0,0.095087143,0.095087143,0,0,0.095087143,0.095087143,0.095087143,0.095087143
Kea,NI,IRON&STEEL,INDNGA,Natural Gas,0.725,0.726208333,0.728625,2.281715,2.02456375,2.02456375,2.107765,2.107765,1.55309,1.55309,1.55309,1.55309
Kea,NI,IRON&STEEL,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,IRON&STEEL,INDWOD,Wood,0,0,0,0,0.760697143,0.760697143,0.760697143,0.760697143,0.760697143,0.760697143,0.760697143,0.760697143
Kea,NI,IRON&STEEL,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,IRON&STEEL,INDELC,Electricity,2.953703704,2.925180556,2.922763889,1.389141481,0.785296296,0.785296296,0.785296296,0.785296296,1.256770046,1.256770046,1.256770046,1.256770046
Kea,NI,IRON&STEEL,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,IRON&STEEL,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,IRON&STEEL,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MEAT PROCESSING,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MEAT PROCESSING,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MEAT PROCESSING,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MEAT PROCESSING,INDCOA,Coal,0.8125,0.810833333,0.8075,0.0012364,0.0012364,0.0012364,0.0012364,0,0,0,0,0
Kea,NI,MEAT PROCESSING,INDNGA,Natural Gas,1.471264368,1.451302682,1.457356322,2.15748377,2.116603023,2.039480897,2.029369839,2.19948377,1.197592351,1.437474535,1.650157006,2.075315477
Kea,NI,MEAT PROCESSING,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
