Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,NI,OTH,.DEM.,R_JDW-CD,-:- Clothes Drying,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-CK,-:- Cooking,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-CW,-:- Clothes Washing,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-DW,-:- Dishwashing,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-LT,-:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-MPM,"-:- Motive Power, Mobile",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-MPS,"-:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-OTH,-:- Electronics and Other Appliances,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-RF,-:- Refrigeration,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-SC,-:- Space Cooling,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-SH,-:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-UNAL,-:- Unallocated,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,R_JDW-WH,-:- Water Heating,PJ,DEM,,,,
BASE,NI,PRI,.ENV.,AGRCO2,-:-,kt,ENV,,,,
BASE,NI,PRI,.NRG.,AGRH2R,-:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,AGRWST,"Agricultural wastes (straws, stover, vegetable culls) -:-",PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,ANMMNR,Animal manure -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,BDSL,Biodiesel -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,BIG,Biogas -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,BIL,Bioliquid -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,COA,Coal -:-,PJ,NRG,,,ANNUAL,
BASE,NI,PRI,.NRG.,COL,Coal Lignite -:-,PJ,NRG,,,ANNUAL,
BASE,NI,PRI,.ENV.,COMCO2,-:-,kt,ENV,,,,
BASE,NI,PRI,.NRG.,COMH2R,-:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,COseq,-:- CO2 to CCS,kt,NRG,,,,
BASE,NI,PRI,.NRG.,DAC_CO2,-:- CO2 from air,kt,NRG,,,,
BASE,NI,PRI,.NRG.,DID,Drop-In Diesel -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,DIJ,Drop-In Jet -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,DSL,Petrol -:-,PJ,NRG,,,,
BASE,NI,PRI,.ENV.,ELCCO2,-:- Electricity Production,kt,ENV,,,,
BASE,NI,PRI,.NRG.,ELCH2R,-:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,ELCNGA,Natural Gas -:- Electricity Production,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,FOL,Fuel Oil -:-,PJ,NRG,,,,
BASE,NI,PRI,.ENV.,GASCO2,-:-,kt,ENV,,,,
BASE,NI,PRI,.NRG.,GEO,Geothermal -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,H2C,Green Hydrogen -:- Green Hydrogen Fuel,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,H2D,Green Hydrogen -:- Green Hydrogen Fuel,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,H2R,Green Hydrogen -:- Green Hydrogen Fuel,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,HYD,Hydro -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.ENV.,INDCO2,-:-,kt,ENV,,,,
BASE,NI,PRI,.NRG.,INDH2R,-:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,INDOSWOD,Wood -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,JET,Jet Fuel -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,LNG,LNG -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,LPG,Crude Oil (imported) -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,MNCWST,Municipal solid waste -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,NGA,Natural Gas -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,OILD,Crude Oil  -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,OILI,Crude Oil (domestic) -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,OILWST,Oil wastes -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,OTH,Other fuels from refinery -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,PET,LPG -:-,PJ,NRG,,,,
BASE,NI,PRI,.NRG.,PLT,Wood pellet -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.ENV.,REFCO2,-:-,kt,ENV,,,,
BASE,NI,PRI,.ENV.,RESCO2,-:-,kt,ENV,,,,
BASE,NI,PRI,.NRG.,RESH2R,-:- Hydrogen,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,SOL,Solar -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,TID,Tidal -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.ENV.,TOTCO2,-:-,kt,ENV,,,,
BASE,NI,PRI,.ENV.,TRACO2,-:-,kt,ENV,,,,
BASE,NI,PRI,.NRG.,TRAH2R,Green Hydrogen -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,URN,Uranium -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,WIN,Wind -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,PRI,.NRG.,WOD,Biomass - wood -:-,PJ,NRG,,FX,,
BASE,NI,PRI,.NRG.,WODWST,Forest residues and woody wastes -:-,PJ,NRG,,FX,,
BASE,NI,TRA,.NRG.,H2R,Green Hydrogen -:- Green Hydrogen Fuel,PJ,NRG,,FX,,
BASE,NI,TRA,.NRG.,TRABIL,Bio Liquids -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,TRA,.ENV.,TRACO2,-:-,kt,ENV,,,ANNUAL,
BASE,NI,TRA,.NRG.,TRADSL,Diesel -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,TRA,.NRG.,TRAELC,Electricity -:-,PJ,NRG,ELC,FX,DAYNITE,
BASE,NI,TRA,.NRG.,TRAFOL,Fuel Oil -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,TRA,.NRG.,TRAH2R,Green Hydrogen -:-,PJ,NRG,,FX,DAYNITE,
BASE,NI,TRA,.NRG.,TRAJET,Jet Fuel -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,TRA,.NRG.,TRALPG,LPG -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,TRA,.NRG.,TRANGA,Natural Gas -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,TRA,.NRG.,TRAPET,Petrol -:-,PJ,NRG,,FX,ANNUAL,
BASE,NI,TRA,.DEM.,T_C_Car,-:- Van/Ute,BVkm,DEM,,,,
BASE,NI,TRA,.DEM.,T_F_DSHIP,-:- Domestic Shipping,PJ,DEM,,,,
BASE,NI,TRA,.DEM.,T_F_HTrk,-:- Heavy Truck,BVkm,DEM,,,,
BASE,NI,TRA,.DEM.,T_F_ISHIP,-:- International Shipping,PJ,DEM,,,,
BASE,NI,TRA,.DEM.,T_F_MTrk,-:- Medium Truck,BVkm,DEM,,,,
BASE,NI,TRA,.DEM.,T_F_Rail,-:- Freight Rail,PJ,DEM,,,,
BASE,NI,TRA,.DEM.,T_F_VHTrk,-:- Very Heavy Truck,BVkm,DEM,,,,
BASE,NI,TRA,.DEM.,T_O_JET,-:- Domestic Aviation,PJ,DEM,,,,
BASE,NI,TRA,.DEM.,T_O_JET_Int,-:- International Aviation,PJ,DEM,,,,
BASE,NI,TRA,.DEM.,T_P_Bus,-:- Bus,BVkm,DEM,,,,
BASE,NI,TRA,.DEM.,T_P_Car,-:- Car/SUV,BVkm,DEM,,,,
BASE,NI,TRA,.DEM.,T_P_Mcy,-:- Motorcycles,BVkm,DEM,,,,
BASE,NI,TRA,.DEM.,T_P_Rail,-:- Passenger Rail,PJ,DEM,,,,
BASE,SI,ELC,.NRG.,AGRELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,SI,ELC,.ENV.,BATNRG,Electricity -:- Electricity Production,PJ,ENV,,N,DAYNITE,
BASE,SI,ELC,.NRG.,COMELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
