Scenario,Region,Sector,Process,Name,Description,Member
BASE,NI,IND,DARY-PH-MVR_Fan-ELC-Fan15,DARY-PH-MVR_Fan-ELC-Fan15_NRGI,-,INDELC
BASE,NI,IND,DARY-PH-MVR_PRE-COA-BLR15,DARY-PH-MVR_PRE-COA-BLR15_DEMO,-,DARY-PH-MVR_PRE
BASE,NI,IND,DARY-PH-MVR_PRE-COA-BLR15,DARY-PH-MVR_PRE-COA-BLR15_NRGI,-,INDCOA
BASE,NI,IND,DARY-PH-MVR_PRE-NGA-BLR15,DARY-PH-MVR_PRE-NGA-BLR15_DEMO,-,DARY-PH-MVR_PRE
BASE,NI,IND,DARY-PH-MVR_PRE-NGA-BLR15,DARY-PH-MVR_PRE-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,DARY-PH-MVR_TVR-COA-BLR15,DARY-PH-MVR_TVR-COA-BLR15_DEMO,-,DARY-PH-MVR_TVR
BASE,NI,IND,DARY-PH-MVR_TVR-COA-BLR15,DARY-PH-MVR_TVR-COA-BLR15_NRGI,-,INDCOA
BASE,NI,IND,DARY-PH-MVR_TVR-NGA-BLR15,DARY-PH-MVR_TVR-NGA-BLR15_DEMO,-,DARY-PH-MVR_TVR
BASE,NI,IND,DARY-PH-MVR_TVR-NGA-BLR15,DARY-PH-MVR_TVR-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,DARY-PH-STM_HW-DSL-BLR15,DARY-PH-STM_HW-DSL-BLR15_DEMO,-,DARY-PH-STM_HW
BASE,NI,IND,DARY-PH-STM_HW-DSL-BLR15,DARY-PH-STM_HW-DSL-BLR15_NRGI,-,INDDSL
BASE,NI,IND,DARY-PH-STM_HW-GEO-Heat15,DARY-PH-STM_HW-GEO-Heat15_DEMO,-,DARY-PH-STM_HW
BASE,NI,IND,DARY-PH-STM_HW-GEO-Heat15,DARY-PH-STM_HW-GEO-Heat15_NRGI,-,INDGEO
BASE,NI,IND,DARY-PH-STM_HW-LPG-BLR15,DARY-PH-STM_HW-LPG-BLR15_DEMO,-,DARY-PH-STM_HW
BASE,NI,IND,DARY-PH-STM_HW-LPG-BLR15,DARY-PH-STM_HW-LPG-BLR15_NRGI,-,INDLPG
BASE,NI,IND,DARY-PH-TVR_DRY-COA-BLR15,DARY-PH-TVR_DRY-COA-BLR15_DEMO,-,DARY-PH-TVR_DRY
BASE,NI,IND,DARY-PH-TVR_DRY-COA-BLR15,DARY-PH-TVR_DRY-COA-BLR15_NRGI,-,INDCOA
BASE,NI,IND,DARY-PH-TVR_DRY-NGA-BLR15,DARY-PH-TVR_DRY-NGA-BLR15_DEMO,-,DARY-PH-TVR_DRY
BASE,NI,IND,DARY-PH-TVR_DRY-NGA-BLR15,DARY-PH-TVR_DRY-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,DARY-PH-TVR_EVP-COA-BLR15,DARY-PH-TVR_EVP-COA-BLR15_DEMO,-,DARY-PH-TVR_EVP
BASE,NI,IND,DARY-PH-TVR_EVP-COA-BLR15,DARY-PH-TVR_EVP-COA-BLR15_NRGI,-,INDCOA
BASE,NI,IND,DARY-PH-TVR_EVP-NGA-BLR15,DARY-PH-TVR_EVP-NGA-BLR15_DEMO,-,DARY-PH-TVR_EVP
BASE,NI,IND,DARY-PH-TVR_EVP-NGA-BLR15,DARY-PH-TVR_EVP-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,DARY-Pump-ELC-Pump15,DARY-Pump-ELC-Pump15_DEMO,-,DARY-Pump
BASE,NI,IND,DARY-Pump-ELC-Pump15,DARY-Pump-ELC-Pump15_NRGI,-,INDELC
BASE,NI,IND,DARY-RFGR-ELC-Refriger15,DARY-RFGR-ELC-Refriger15_DEMO,-,DARY-RFGR
BASE,NI,IND,DARY-RFGR-ELC-Refriger15,DARY-RFGR-ELC-Refriger15_NRGI,-,INDELC
BASE,NI,IND,FOOD-MoTP-Stat-ELC-Mtr15,FOOD-MoTP-Stat-ELC-Mtr15_DEMO,-,FOOD-MoTP-Stat
BASE,NI,IND,FOOD-MoTP-Stat-ELC-Mtr15,FOOD-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
